key	code_pass	code_score	judge_overall	hook	clarity	audience	novelty	brand	predicted	judge_cost_usd
59-nasal-breathing	PASS	1	4.17	4	5	4	3	5	4	0.0676865
60-meal-timing-clock	PASS	1	4.33	4	5	5	3	5	4	0.06743049999999999
61-fix-your-gut	PASS	1	3.83	3	5	4	3	5	3	0.0672315
62-cold-exposure	PASS	1	4.33	4	5	5	3	5	4	0.0669655
63-sauna-heat	PASS	1	3.67	3	4	4	3	5	3	0.0678665
64-breath-for-stress	PASS	1	4.17	4	5	5	3	4	4	0.06773749999999999
65-muscle-longevity	PASS	1	4.17	4	5	4	3	5	4	0.0675865
66-active-couch-potato	PASS	1	4.5	4	5	5	4	5	4	0.0675565
67-omega-3-fish	PASS	1	4.33	4	5	5	3	5	4	0.0675805
68-magnesium-food	PASS	1	4.33	4	5	5	3	5	4	0.0671785
