key	code_pass	code_score	judge_overall	hook	clarity	audience	novelty	brand	predicted	judge_cost_usd
130-zone-2-cardio	FAIL	0.5	3.17	3	4	4	2	4	2	0.06792720000000001
131-strength-after-50	FAIL	0.5	3	3	5	2	2	4	2	0.06707919999999999
132-omega-3-brain	FAIL	0.5	3.5	3	5	3	2	5	3	0.0678652
133-gut-microbiome	FAIL	0.5	3.17	3	4	3	2	4	3	0.06789020000000001
134-cut-added-sugar	FAIL	0.5	4	4	5	4	3	5	3	0.0678842
135-salt-blood-pressure	FAIL	0.5	3.83	4	5	3	3	5	3	0.0675792
136-vitamin-d-sun	FAIL	0.5	3	3	4	3	2	4	2	0.06734620000000001
137-magnesium	FAIL	0.5	3.33	3	4	4	2	5	2	0.0673832
138-morning-light	FAIL	0.5	3.33	3	4	4	2	4	3	0.06646719999999999
139-caffeine-timing	FAIL	0.5	4.17	4	5	5	3	5	3	0.0674532
140-screens-before-bed	FAIL	0.5	3.17	3	4	4	2	4	2	0.0674102
141-power-of-naps	FAIL	0.5	3.83	3	5	5	2	5	3	0.06698319999999999
142-break-up-sitting	FAIL	0.5	3.67	3	5	4	2	5	3	0.0678332
143-take-the-stairs	FAIL	0.5	3.33	3	4	4	2	5	2	0.0674352
144-sauna-heat	FAIL	0.5	3.5	3	4	3	3	5	3	0.0680442
145-breathing-hrv	FAIL	0.5	3.5	3	4	4	2	5	3	0.0678362
146-posture-spine	FAIL	0.5	3.83	4	4	4	3	5	3	0.0675942
147-core-back-pain	FAIL	0.5	3	3	4	3	2	4	2	0.0672302
148-flexibility-mobility	FAIL	0.5	3.67	3	5	3	3	5	3	0.0676402
149-eye-health	FAIL	0.5	2.83	2	4	3	2	4	2	0.06763419999999999
150-recovery-rest-days	FAIL	0.5	3.67	3	5	4	2	5	3	0.0677932
151-walking-after-meals	FAIL	0.5	4.17	4	5	4	3	5	4	0.0674272
152-loaded-carries	FAIL	0.5	3.5	3	4	3	4	4	3	0.0675112
153-protein-per-meal	FAIL	0.5	3.5	3	4	4	2	5	3	0.06768819999999999
154-eat-the-rainbow	FAIL	0.5	3.17	3	4	3	2	5	2	0.0677092
155-handful-of-nuts	FAIL	0.5	3.33	3	4	4	2	4	3	0.06806620000000001
156-cold-exposure	FAIL	0.5	2.83	2	4	3	2	4	2	0.0674222
157-leafy-greens-brain	FAIL	0.5	3.67	3	5	4	2	5	3	0.06777319999999999
158-gratitude-wellbeing	FAIL	0.5	2.67	2	4	3	1	4	2	0.0669292
159-know-your-numbers	FAIL	0.5	2.67	2	4	3	1	4	2	0.06739919999999999
